# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"([d16,b],i,d16)","([d16,b],i,d32)",28,31,40
"([d16,b],i,d16)","([d32,b],i)",29,32,41
"([d16,b],i,d16)","([d32,b],i,d16)",31,34,42
"([d16,b],i,d16)","([d32,b],i,d32)",32,35,44
"([d16,b],i,d16)","(an)",16,19,24
"([d16,b],i,d16)","(an)+",16,19,24
"([d16,b],i,d16)","(b)",21,22,27
"([d16,b],i,d16)","(d16,an)",16,19,26
"([d16,b],i,d16)","(d16,an,xn)",20,23,29
"([d16,b],i,d16)","(d16,b)",21,24,31
"([d16,b],i,d16)","(d32,b)",25,28,36
"([d16,b],i,d16)","(d8,an,xn)",18,21,26
"([d16,b],i,d16)","(xxx).l",18,21,28
"([d16,b],i,d16)","(xxx).w",16,19,26
"([d16,b],i,d16)","-(an)",16,19,24
"([d16,b],i,d16)","an",13,18,22
"([d16,b],i,d16)","dn",13,18,22
"([d16,b],i,d32)","([b],i)",23,26,28
"([d16,b],i,d32)","([b],i,d16)",25,28,35
"([d16,b],i,d32)","([b],i,d32)",26,29,38
"([d16,b],i,d32)","([d16,b],i)",25,28,35
"([d16,b],i,d32)","([d16,b],i,d16)",27,30,38
"([d16,b],i,d32)","([d16,b],i,d32)",28,31,41
"([d16,b],i,d32)","([d32,b],i)",29,32,42
"([d16,b],i,d32)","([d32,b],i,d16)",31,34,43
"([d16,b],i,d32)","([d32,b],i,d32)",32,35,45
"([d16,b],i,d32)","(an)",16,19,25
"([d16,b],i,d32)","(an)+",16,19,25
"([d16,b],i,d32)","(b)",21,22,28
"([d16,b],i,d32)","(d16,an)",16,19,27
"([d16,b],i,d32)","(d16,an,xn)",20,23,30
"([d16,b],i,d32)","(d16,b)",21,24,32
"([d16,b],i,d32)","(d32,b)",25,28,37
"([d16,b],i,d32)","(d8,an,xn)",18,21,27
"([d16,b],i,d32)","(xxx).l",18,21,29
"([d16,b],i,d32)","(xxx).w",16,19,27
"([d16,b],i,d32)","-(an)",16,19,25
"([d16,b],i,d32)","an",13,18,23
"([d16,b],i,d32)","dn",13,18,23
"([d32,b],i)","([b],i)",25,28,28
"([d32,b],i)","([b],i,d16)",27,30,35
"([d32,b],i)","([b],i,d32)",28,31,38
"([d32,b],i)","([d16,b],i)",27,30,35
"([d32,b],i)","([d16,b],i,d16)",29,32,38
"([d32,b],i)","([d16,b],i,d32)",30,33,41
"([d32,b],i)","([d32,b],i)",31,34,42
"([d32,b],i)","([d32,b],i,d16)",33,36,43
"([d32,b],i)","([d32,b],i,d32)",34,37,45
"([d32,b],i)","(an)",18,21,25
"([d32,b],i)","(an)+",18,21,25
